eps_S81,eps_Li2S1,rho_C3H4O3(e)_cat1,rho_C4H6O3(e)_cat1,rho_Li+(e)_cat1,rho_PF6-(e)_cat1,rho_S8(e)_cat1,rho_S8-(e)_cat1,rho_S6-(e)_cat1,rho_S4-(e)_cat1,rho_S2-(e)_cat1,rho_S-(e)_cat1,Phi_dl1,Phi_ed1,np_S81,np_Li2S1,rho_C3H4O3(e)_sep1,rho_C4H6O3(e)_sep1,rho_Li+(e)_sep1,rho_PF6-(e)_sep1,rho_S8(e)_sep1,rho_S8-(e)_sep1,rho_S6-(e)_sep1,rho_S4-(e)_sep1,rho_S2-(e)_sep1,rho_S-(e)_sep1,Phi_sep1,rho_C3H4O3(e)_an1,rho_C4H6O3(e)_an1,rho_Li+(e)_an1,rho_PF6-(e)_an1,rho_S8(e)_an1,rho_S8-(e)_an1,rho_S6-(e)_an1,rho_S4-(e)_an1,rho_S2-(e)_an1,rho_S-(e)_an1,Phi_an_dl1,Phi_an1,Time
1e-15,0.27093739256592453,11.638268327618741,11.638268327618741,1.2080357093724585,1.1603709177878916,1.8436805796394748e-17,5.440131468307596e-05,0.0002593846946371283,0.014019463662106062,5.899968810383953e-07,0.009498554572435525,0.7616619701288474,2.0789747491807584,312000000.0,312000000.0,11.613754494915442,11.613754494915442,1.2098462252905926,1.1617002792816506,1.848937971631121e-17,5.453928993999081e-05,0.00026044670767987234,0.014242470999213667,6.031353171968457e-07,0.009514912872339156,1.3173177312514828,11.577626374604986,11.577626374604986,1.213487172027043,1.1645547873162236,1.8567084323644006e-17,5.482701833125531e-05,0.000262418295925922,0.014594642092461018,6.235748421014752e-07,0.009553678006432182,-1.3173284102110274,0.0,0.0
9.999999999948382e-16,0.2709373925659262,11.638268327618764,11.638268327618764,1.2080357093727094,1.1603709177881698,1.8436814166796996e-17,5.4401314683108106e-05,0.00025938469463706714,0.014019463662090835,5.899968810374555e-07,0.009498554572437146,0.7616619791659983,2.0789766386699835,312000000.0,312000000.0,11.613754494915463,11.613754494915463,1.2098462252905613,1.1617002792816526,1.8489379716264343e-17,5.4539289939984233e-05,0.00026044670767962644,0.014242470999196783,6.031353171958098e-07,0.009514912872339649,1.317319611703554,11.577626374605007,11.577626374605007,1.2134871720271538,1.1645547873156499,1.856708432359701e-17,5.4827018331167376e-05,0.00026241829592528525,0.014594642092440439,6.235748421002696e-07,0.009553678006430318,-1.3173302906630877,0.0,8.422786985834973e-10
9.999999999896763e-16,0.27093739256592786,11.638268327618787,11.638268327618787,1.2080357093729603,1.160370917788448,1.843682547179581e-17,5.440131468314025e-05,0.000259384694637006,0.014019463662075607,5.899968810365353e-07,0.009498554572438766,0.7616619882031475,2.0789785080558985,312000000.0,312000000.0,11.613754494915485,11.613754494915485,1.20984622529053,1.1617002792816546,1.8489379716217508e-17,5.4539289939977654e-05,0.00026044670767938054,0.014242470999179899,6.031353171947738e-07,0.009514912872340141,1.3173214720523156,11.577626374605028,11.577626374605028,1.2134871720272569,1.1645547873150761,1.8567084323550014e-17,5.482701833107944e-05,0.0002624182959246485,0.01459464209241986,6.23574842099064e-07,0.009553678006428453,-1.3173321510118392,0.0,1.6845573971669945e-09
9.999999999845143e-16,0.2709373925659295,11.63826832761881,11.63826832761881,1.2080357093732113,1.1603709177887263,1.8436837805640333e-17,5.44013146831724e-05,0.00025938469463694484,0.01401946366206038,5.899968810356348e-07,0.009498554572440386,0.7616619972402948,2.078980357553422,312000000.0,312000000.0,11.613754494915506,11.613754494915506,1.2098462252904987,1.1617002792816566,1.848937971617071e-17,5.4539289939971074e-05,0.00026044670767913465,0.014242470999163015,6.031353171937379e-07,0.009514912872340634,1.3173233125126884,11.57762637460505,11.57762637460505,1.2134871720273521,1.1645547873145023,1.856708432350302e-17,5.4827018330991505e-05,0.00026241829592401174,0.01459464209239928,6.235748420978583e-07,0.009553678006426588,-1.317333991472201,0.0,2.526836095750492e-09
9.999999999741903e-16,0.27093739256593286,11.638268327618855,11.638268327618855,1.208035709373713,1.1603709177892827,1.843686334808647e-17,5.4401314683236686e-05,0.0002593846946368226,0.014019463662029925,5.899968810339124e-07,0.009498554572443625,0.7616620153145823,2.07898397867788,312000000.0,312000000.0,11.61375449491555,11.61375449491555,1.2098462252904363,1.1617002792816606,1.8489379716077257e-17,5.4539289939957914e-05,0.00026044670767864285,0.014242470999129248,6.03135317191666e-07,0.00951491287234162,1.3173269155628518,11.577626374605094,11.577626374605094,1.2134871720275124,1.164554787313355,1.8567084323409027e-17,5.4827018330815634e-05,0.0002624182959227383,0.014594642092358123,6.235748420954471e-07,0.009553678006422857,-1.3173375945223436,0.0,4.211393492917486e-09
9.999999999535423e-16,0.27093739256593957,11.638268327618944,11.638268327618944,1.208035709374717,1.1603709177903956,1.8436914849124005e-17,5.4401314683365266e-05,0.00025938469463657806,0.014019463661969017,5.899968810307826e-07,0.0094985545724501,0.7616620514631286,2.0789909223503944,312000000.0,312000000.0,11.61375449491564,11.61375449491564,1.2098462252903113,1.1617002792816689,1.8489379715890947e-17,5.45392899399316e-05,0.00026044670767765926,0.014242470999061715,6.031353171875221e-07,0.00951491287234359,1.3173338230868057,11.577626374605181,11.577626374605181,1.213487172027717,1.1645547873110602,1.856708432322104e-17,5.4827018330463885e-05,0.00026241829592019134,0.014594642092275808,6.235748420906247e-07,0.009553678006415394,-1.3173445020462564,0.0,7.580508287251475e-09
9.999999999122462e-16,0.270937392565953,11.638268327619121,11.638268327619121,1.2080357093767247,1.1603709177926214,1.843701795668092e-17,5.440131468362242e-05,0.00025938469463608903,0.0140194636618472,5.899968810257826e-07,0.009498554572463049,0.7616621237601062,2.0790037104218624,312000000.0,312000000.0,11.613754494915815,11.613754494915815,1.2098462252900613,1.161700279281685,1.8489379715520703e-17,5.453928993987898e-05,0.00026044670767569214,0.014242470998926648,6.031353171792344e-07,0.009514912872347533,1.317346538861267,11.577626374605355,11.577626374605355,1.213487172027699,1.1645547873064708,1.856708432284507e-17,5.4827018329760394e-05,0.0002624182959150975,0.014594642092111178,6.235748420809799e-07,0.009553678006400468,-1.3173572178206368,0.0,1.4318737875919454e-08
9.999999998296542e-16,0.2709373925659799,11.638268327619476,11.638268327619476,1.20803570938074,1.160370917797073,1.843722418660471e-17,5.440131468413672e-05,0.000259384694635111,0.014019463661603566,5.899968810208207e-07,0.00949855457248893,0.7616622683536021,2.079025537655202,312000000.0,312000000.0,11.613754494916167,11.613754494916167,1.2098462252895612,1.1617002792817177,1.8489379714789713e-17,5.453928993977372e-05,0.00026044670767175784,0.014242470998656514,6.031353171626589e-07,0.009514912872355417,1.3173682215010536,11.577626374605705,11.577626374605705,1.2134871720262057,1.164554787297292,1.856708432209313e-17,5.4827018328353404e-05,0.0002624182959049097,0.014594642091781917,6.235748420616903e-07,0.009553678006370617,-1.3173789004602672,0.0,2.7795197053255408e-08
9.999999996644701e-16,0.27093739256603355,11.638268327620187,11.638268327620187,1.2080357093887704,1.1603709178059762,1.843763665166355e-17,5.440131468516534e-05,0.000259384694633155,0.014019463661116307,5.899968810310499e-07,0.009498554572540634,0.7616625575387561,2.0790580495635735,312000000.0,312000000.0,11.61375449491687,11.61375449491687,1.2098462252885611,1.161700279281783,1.8489379713365723e-17,5.453928993956321e-05,0.0002604467076638893,0.014242470998116244,6.03135317129508e-07,0.009514912872371186,1.317400444224157,11.577626374606405,11.577626374606405,1.2134871720188887,1.1645547872789341,1.8567084320589247e-17,5.4827018325539425e-05,0.0002624182958845342,0.014594642091123395,6.23574842023111e-07,0.009553678006310917,-1.3174111231830783,0.0,5.4748115407927324e-08
9.99999999499286e-16,0.27093739256608723,11.638268327620898,11.638268327620898,1.2080357093968006,1.1603709178148796,1.8438049123459788e-17,5.4401314686193956e-05,0.0002593846946311991,0.014019463660629053,5.899968810614318e-07,0.009498554572592275,0.7616628467220726,2.0790822819548382,312000000.0,312000000.0,11.613754494917574,11.613754494917574,1.209846225287561,1.1617002792818483,1.8489379711979725e-17,5.45392899393527e-05,0.00026044670765602076,0.014242470997575975,6.031353170963572e-07,0.009514912872386955,1.3174243874319902,11.577626374607105,11.577626374607105,1.2134871720083538,1.1645547872605764,1.8567084319085363e-17,5.4827018322725446e-05,0.0002624182958641587,0.014594642090464873,6.235748419845318e-07,0.009553678006251216,-1.3174350663906325,0.0,8.170103376259923e-08
