eps_S81,eps_Li2S1,rho_C3H4O3(e)_cat1,rho_C4H6O3(e)_cat1,rho_Li+(e)_cat1,rho_PF6-(e)_cat1,rho_S8(e)_cat1,rho_S8-(e)_cat1,rho_S6-(e)_cat1,rho_S4-(e)_cat1,rho_S2-(e)_cat1,rho_S-(e)_cat1,Phi_dl1,Phi_ed1,np_S81,np_Li2S1,rho_C3H4O3(e)_sep1,rho_C4H6O3(e)_sep1,rho_Li+(e)_sep1,rho_PF6-(e)_sep1,rho_S8(e)_sep1,rho_S8-(e)_sep1,rho_S6-(e)_sep1,rho_S4-(e)_sep1,rho_S2-(e)_sep1,rho_S-(e)_sep1,Phi_sep1,rho_C3H4O3(e)_an1,rho_C4H6O3(e)_an1,rho_Li+(e)_an1,rho_PF6-(e)_an1,rho_S8(e)_an1,rho_S8-(e)_an1,rho_S6-(e)_an1,rho_S4-(e)_an1,rho_S2-(e)_an1,rho_S-(e)_an1,Phi_an_dl1,Phi_an1,Time
1e-15,0.2706967401661207,12.276427053535476,12.276427053535476,1.1389942036267424,1.097207746916818,8.604888205707306e-26,3.276885480845706e-05,4.925819352538629e-06,0.0031852215547679484,3.503937923916033e-08,0.017670939727610045,0.5198374620682942,1.8264793939458466,312000000.0,312000000.0,11.415163784993249,11.415163784993249,1.2308353427856038,1.1609841875062286,1.6252328590431493e-25,3.744737924298242e-05,5.705918462778703e-06,0.015811911408845553,1.7412787147397525e-07,0.019070338805266807,1.306853370292818,10.323587846516238,10.323587846516238,1.4169328173837628,1.2956175884269008,2.8519901989388076e-25,4.739918275476165e-05,7.333269231641083e-06,0.03812543409914686,4.19953128480582e-07,0.02247702656339414,-1.3072596867400468,0.0,0.0
9.999999999999535e-16,0.2706967401661215,12.276427053535489,12.276427053535489,1.1389942036268557,1.097207746916941,8.604890891843184e-26,3.276885480846587e-05,4.925819352539659e-06,0.0031852215547616258,3.503937923909076e-08,0.017670939727611468,0.5198374661365902,1.826480034784376,312000000.0,312000000.0,11.415163784993258,11.415163784993258,1.2308353427855894,1.1609841875062252,1.6252328590381617e-25,3.744737924298204e-05,5.705918462778395e-06,0.015811911408839554,1.741278714739092e-07,0.019070338805267338,1.3068540070630497,10.323587846516244,10.323587846516244,1.4169328173838167,1.2956175884266488,2.8519901989321275e-25,4.739918275473328e-05,7.333269231636401e-06,0.03812543409913508,4.1995312848045224e-07,0.022477026563392632,-1.3072605423364458,0.0,7.583547751680688e-12
9.99999999999907e-16,0.2706967401661223,12.276427053535501,12.276427053535501,1.138994203626969,1.097207746917064,8.604893578084754e-26,3.276885480847468e-05,4.925819352540689e-06,0.003185221554755303,3.503937923902119e-08,0.01767093972761289,0.519837470204886,1.8264808943548534,312000000.0,312000000.0,11.415163784993267,11.415163784993267,1.230835342785575,1.160984187506222,1.6252328590331741e-25,3.744737924298166e-05,5.705918462778086e-06,0.015811911408833555,1.7412787147384317e-07,0.01907033880526787,1.3068548625652299,10.323587846516249,10.323587846516249,1.4169328173838704,1.2956175884263967,2.8519901989254474e-25,4.739918275470491e-05,7.3332692316317185e-06,0.038125434099123306,4.199531284803225e-07,0.022477026563391123,-1.3072613978386212,0.0,1.5167095503361376e-11
9.999999999998141e-16,0.2706967401661238,12.276427053535526,12.276427053535526,1.1389942036271954,1.09720774691731,8.604898950576092e-26,3.276885480849229e-05,4.9258193525427485e-06,0.003185221554742658,3.503937923888206e-08,0.01767093972761574,0.5198374783414774,1.8264826266722238,312000000.0,312000000.0,11.415163784993284,11.415163784993284,1.230835342785546,1.160984187506215,1.625232859023199e-25,3.7447379242980894e-05,5.70591846277747e-06,0.015811911408821554,1.7412787147371105e-07,0.01907033880526893,1.3068565867460054,10.323587846516261,10.323587846516261,1.4169328173839781,1.2956175884258927,2.8519901989120867e-25,4.7399182754648164e-05,7.333269231622354e-06,0.038125434099099756,4.1995312848006303e-07,0.0224770265633881,-1.3072631086218671,0.0,3.033419100672275e-11
9.999999999996281e-16,0.27069674016612677,12.276427053535578,12.276427053535578,1.1389942036276484,1.0972077469178023,8.604909695547458e-26,3.276885480852751e-05,4.925819352546867e-06,0.003185221554717367,3.503937923860382e-08,0.017670939727621435,0.519837494614657,1.826486049296342,312000000.0,312000000.0,11.415163784993322,11.415163784993322,1.2308353427854886,1.1609841875062012,1.6252328590032486e-25,3.744737924297937e-05,5.705918462776236e-06,0.015811911408797556,1.7412787147344683e-07,0.019070338805271057,1.3068599930969373,10.323587846516284,10.323587846516284,1.4169328173841926,1.2956175884248846,2.851990198885366e-25,4.739918275453468e-05,7.333269231603624e-06,0.03812543409905265,4.1995312847954407e-07,0.022477026563382057,-1.3072665283703024,0.0,6.06683820134455e-11
9.999999999992564e-16,0.27069674016613277,12.27642705353568,12.27642705353568,1.1389942036285545,1.0972077469187866,8.604931185536868e-26,3.2768854808597965e-05,4.925819352555104e-06,0.003185221554666785,3.503937923804743e-08,0.017670939727632826,0.519837527161006,1.82649291531866,312000000.0,312000000.0,11.415163784993394,11.415163784993394,1.2308353427853735,1.1609841875061737,1.6252328589633482e-25,3.744737924297631e-05,5.70591846277377e-06,0.015811911408749556,1.7412787147291842e-07,0.01907033880527531,1.3068668265728933,10.323587846516332,10.323587846516332,1.4169328173846194,1.2956175884228684,2.851990198831924e-25,4.739918275430772e-05,7.333269231566164e-06,0.03812543409895844,4.1995312847850613e-07,0.02247702656336997,-1.307273361846223,0.0,1.21336764026891e-10
9.999999999985127e-16,0.27069674016614476,12.276427053535887,12.276427053535887,1.1389942036303669,1.0972077469207553,8.604974165650139e-26,3.276885480873887e-05,4.925819352571579e-06,0.0031852215545656215,3.5039379236935e-08,0.017670939727655606,0.5198375922536629,1.8265066233221747,312000000.0,312000000.0,11.41516378499354,11.41516378499354,1.2308353427851435,1.1609841875061186,1.625232858883549e-25,3.74473792429702e-05,5.705918462768836e-06,0.015811911408653557,1.7412787147186156e-07,0.019070338805283815,1.3068804694837248,10.323587846516428,10.323587846516428,1.4169328173854634,1.2956175884188363,2.8519901987250403e-25,4.739918275385378e-05,7.333269231491244e-06,0.03812543409877001,4.1995312847643027e-07,0.022477026563345794,-1.3072870047569838,0.0,2.42673528053782e-10
9.999999999970255e-16,0.2706967401661688,12.276427053536299,12.276427053536299,1.1389942036339913,1.0972077469246926,8.605060126413073e-26,3.2768854809020675e-05,4.9258193526045285e-06,0.003185221554363296,3.503937923471149e-08,0.017670939727701167,0.5198377224388129,1.8265339435052546,312000000.0,312000000.0,11.415163784993831,11.415163784993831,1.2308353427846834,1.1609841875060085,1.6252328587239583e-25,3.7447379242957976e-05,5.705918462758968e-06,0.01581191140846156,1.7412787146974787e-07,0.01907033880530082,1.306907659481602,10.323587846516618,10.323587846516618,1.416932817387114,1.295617588410772,2.8519901985112725e-25,4.739918275294591e-05,7.333269231341405e-06,0.03812543409839317,4.199531284722786e-07,0.022477026563297444,-1.3073141947547195,0.0,4.85347056107564e-10
9.999999999940509e-16,0.27069674016621686,12.276427053537121,12.276427053537121,1.1389942036412402,1.0972077469325672,8.605232050087884e-26,3.276885480958429e-05,4.925819352670428e-06,0.0031852215539586487,3.503937923026994e-08,0.017670939727792268,0.5198379828084569,1.8265882032802696,312000000.0,312000000.0,11.415163784994416,11.415163784994416,1.230835342783763,1.1609841875057882,1.6252328584048051e-25,3.7447379242933534e-05,5.705918462739232e-06,0.01581191140807757,1.7412787146552048e-07,0.019070338805334836,1.3069616588868675,10.323587846516999,10.323587846516999,1.4169328173902676,1.295617588394643,2.851990198083737e-25,4.739918275113017e-05,7.333269231041726e-06,0.03812543409763947,4.199531284639752e-07,0.022477026563200744,-1.3073681941597033,0.0,9.70694112215128e-10
9.999999999881019e-16,0.270696740166313,12.276427053538766,12.276427053538766,1.1389942036557377,1.0972077469483166,8.605575906030893e-26,3.276885481071153e-05,4.925819352802227e-06,0.0031852215531493716,3.503937922140868e-08,0.017670939727974403,0.5198385035451217,1.8266952217939387,312000000.0,312000000.0,11.415163784995585,11.415163784995585,1.2308353427819225,1.1609841875053477,1.625232857766613e-25,3.744737924288465e-05,5.70591846269976e-06,0.015811911407309587,1.7412787145706572e-07,0.019070338805402865,1.3070681566636613,10.323587846517759,10.323587846517759,1.4169328173959912,1.2956175883623853,2.851990197228666e-25,4.73991827474987e-05,7.333269230442369e-06,0.03812543409613209,4.1995312844736836e-07,0.022477026563007346,-1.3074746919359355,0.0,1.941388224430256e-09
